tf_family,func_count,func_pct,nonfunc_count,nonfunc_pct,odds_ratio,fisher_p,fdr
LFY,6,0.7326007326007326,53,0.47010821358878835,1.5624869456241732,0.29199766683689843,0.7007944004085562
E2F/DP,1,0.1221001221001221,9,0.07982969664715274,1.530154849225754,0.5041819737190442,0.826669355042171
BES1,18,2.197802197802198,171,1.5167642362959022,1.459097181155135,0.14214250561366248,0.6298499341405589
HSF,18,2.197802197802198,172,1.5256342025900302,1.450483407368696,0.14368534253687595,0.6298499341405589
ARR-B,24,2.93040293040293,245,2.17314174206138,1.3589834424335772,0.1750642031680916,0.6298499341405589
CAMTA,37,4.517704517704518,390,3.4592868547099522,1.320440684635058,0.1163513472495438,0.6298499341405589
M-type_MADS,38,4.63980463980464,418,3.7076459109455384,1.2636480037248283,0.1827476269632733,0.6298499341405589
Dof,104,12.698412698412698,1231,10.91892850807167,1.1866774979691308,0.11896369507296704,0.6298499341405589
bHLH,65,7.936507936507937,765,6.785524215007983,1.1842461122379986,0.22314387518291268,0.6298499341405589
Trihelix,98,11.965811965811966,1169,10.368990597835728,1.1749316900180222,0.155940275416308,0.6298499341405589
WOX,37,4.517704517704518,447,3.9648749334752527,1.1460289397346333,0.4069447181790575,0.826669355042171
MYB_related,106,12.942612942612943,1330,11.79705517119035,1.1115418279218383,0.3414000588118034,0.7681501323265577
MYB,266,32.47863247863248,3428,30.406244456271065,1.10094087411193,0.22324298292240502,0.6298499341405589
G2-like,91,11.11111111111111,1164,10.324640766365087,1.0856958762886597,0.4763726058855783,0.826669355042171
SBP,63,7.6923076923076925,804,7.131452900478978,1.0851990049751243,0.528149865721387,0.826669355042171
TCP,52,6.349206349206349,687,6.093666844065993,1.044778328769151,0.7623883545426919,0.889257328811977
CPP,51,6.227106227106227,674,5.978357282242327,1.0443712908011868,0.7603704999670056,0.889257328811977
GATA,34,4.151404151404152,451,4.000354798651765,1.039394410157188,0.7824534141284323,0.889257328811977
HD-ZIP,53,6.471306471306471,707,6.271066169948554,1.0341401353861608,0.8228668400906123,0.8976729164624861
C2H2,175,21.367521367521366,2353,20.871030690083376,1.0302527762892884,0.7220507465466625,0.889257328811977
MIKC_MADS,112,13.675213675213675,1506,13.358169238956892,1.0274939844582067,0.7904509589439795,0.889257328811977
NAC,141,17.216117216117215,1964,17.420613801667553,0.985819980895049,0.9239676850146263,0.9239676850146263
ARF,52,6.349206349206349,742,6.581514990243037,0.9623098359906802,0.8837479097329388,0.9100833918355233
bZIP,53,6.471306471306471,757,6.714564484654958,0.9612649216537728,0.8848032976178699,0.9100833918355233
WRKY,49,5.982905982905983,710,6.297676068830938,0.9468373879641485,0.7657157320652145,0.889257328811977
GRAS,80,9.768009768009769,1190,10.555259890012419,0.9173423090481118,0.5162055282139695,0.826669355042171
LBD,64,7.814407814407814,966,8.568387440127728,0.904545267574349,0.5165533205243504,0.826669355042171
EIL,33,4.029304029304029,501,4.443853113358169,0.9027974585180784,0.6593982884553935,0.889257328811977
ERF,139,16.971916971916972,2110,18.715628880610254,0.8877864510733203,0.22666976216419935,0.6298499341405589
TALE,98,11.965811965811966,1544,13.69522795813376,0.8565571708838473,0.16978050035274517,0.6298499341405589
YABBY,8,0.9768009768009768,132,1.1708355508249069,0.8326420804842506,0.7362139492894351,0.889257328811977
B3,21,2.5641025641025643,386,3.42380698953344,0.7422961548950096,0.22744580955075738,0.6298499341405589
RAV,6,0.7326007326007326,118,1.0466560227071138,0.6977296891612984,0.4749454384349582,0.826669355042171
Nin-like,22,2.686202686202686,441,3.9116551357104843,0.6780699732841694,0.08870750456854873,0.6298499341405589
BBR-BPC,5,0.6105006105006106,102,0.9047365620010644,0.6727850845497905,0.5592096195640484,0.8388144293460725
AP2,8,0.9768009768009768,167,1.4812843711193897,0.6560688733507092,0.28954326680496845,0.7007944004085562
